(Cdad. Mtar.),(CAD. MTAR.)
Ararat,Арарат.
Ardenas,Ardennes.
Argel,Аргель
Argelia,Алжир
Argentina,Аргентина
Ariel,Ариэль.
Aries,Овен
Arjánguel,Arjánguel.
Arjánguelsk,Arjánguelsk
Arm.,РУКА
Armando,Армандо.
Armenia,Армения
Arturo,Артур
Arábigo,арабский
As.,Туз.
Ascensión,Вознесение
Ashjabad,Ашьябад.
Ashkabad,Ашкабад.
Ashkhabad,Ашхабад.
Asia,Азия
Asia Anterior,Азия предыдущая
Asia Central,Центральная Азия
Asia Menor,Маленькая Азия
Astracán,Астрахань
Asturias,Астурия
Asunción,Предположение
Atacama,Атакама.
Ataúlfo,Атачо.
Atenas,Афины
Ater,Туалет.
Atlas,Атлас
Atlántico,Атлантик
Augusta,Августа
Augusto,Август
Aurelia,Аурелия.
Aurelio,Aurelio.
Aurora,рассвет
Australia,Австралия
Austria,Австрия
Autónoma,Автономный
Av.,Средний.
Avda,АВДА.
Azerbaidzhán,Azerbaidzhán.
Azerbayán,Азербайджан.
Azof,Азоф.
Azores,Азорские острова.
Azov,Азов.
Azucena,Азучена
Aída,Aída.
B,Беременный
B Cga.,B CGA.
B. A. N.,Б. А. Н.
B.-A.,Б.-А.
BA,Б.А.
BAN,Запрет
BARNA,Барна
BC,ДО Н.Э.
BCG,BCG.
BE,Быть.
BEP,Бестона
BET,Держать пари.
BID,Делать ставку.
BIPI,BIPI.
BIRF,Бирф.
BLI,Bli.
BNC,BNC.
BP,Бп.
BRAE,Brae.
BTJ,BTJ.
Bab-el-Mandeb,Bab-El-Mandeb
Babia,Babia.
Bacho,Бако
Badajoz,Бадахос.
Baffin,Bafffin.
Bagdad,Багдад.
Bahamas,Багамские острова.
Bahrein,Бахрейн.
Baical,Бак.
Baikal,Байкал.
Bajos,Низкий
Bakú,Баку.
Balcanes,Балканы
Balcánica,Балкан
Baldomero,Baldomero.
Baleares,Балеарцы
Baljash,Балладжаш
Balkach,Балкач
Balkaria,Балкария
Baltasar,Балтазар
Bamako,Бамако.
Bamba,Бамба
Bandong,Бандан.
Bandung,Bandung.
Bangkok,Бангкок.
Bangla-Desh,Бангла-деш
Bangui,Банги
Banjul,Баня
Bankok,Банк.
Barbada,Барбада.
Barcelona,Барселона
Barentz,Барентс.
Barna.,Барна.
Bartolo,Бартолус
Bartolomé,Варфоломей
Bashkires,Башкирует
Bashkiria,Башкирия.
Basilio,Бэзил
Baskires,Беседы.
Basle,База.
Bator,Тесто
Batuecas,Batucas.
Batum,Батумин
Baudilio,Baudilio.
Bautista,Баптист
Bayona,Байон
Beatriz,Beatriz.
Beaufort,Борфорт
Becat,Посадка
Behring,Отрицание
Beirut,Бейрут
Belgrado,Белград
Belorrusia,Белорусия
Belorusia,Белорузский
Belén,Белена
Bengala,Бенгальский
Bengasi,Бенгази
Benghazi,Бенгази
Benita,Бенита.
Benito,Бенедикт
Benjamín,Бенжамин
Benín,Бенин
Bering,Беринг.
Berlín,Берлин
Bermudas,Бермудские острова
Berna,Берн.
Bernabé,Барабас
Bernarda,Бернарда.
Bernardo,Бернард
Berta,Берта
Bertrán,Бертран.
Beto,Бето
Beño,Beño.
Bibiana,Бибиана.
Bibiano,Бибиано.
Bielorrusia,Беларусь
Bielorusia,Биорусия
Bienvenido,Добро пожаловать
Bikini,Бикини
Bilbao,Bilbao.
Bimbas,Бимбас.
Bio.,Био.
Birmania,Бирма.
Biserta,Бисета.
Bissau,Бисау.
Bizerta,Безерта
Blanca,Белый
Blanco,Белый
Blancucha,Белый
Blancuchita,Белый
Blas,Боевик
Blasco,Blasco.
Bmé.,BMÉ
Bo.,Боевик
Bogotá,Богота.
Bolivia,Боливия.
Bolonia,Болонья.
Bolívar,Боливар
Bombay,Бомбей.
Bonifacio,Бонитра
Bonn,Бонн
Borneo,Борнео.
Bosforo,Босфор
Bostón,Бостон
Botnia,Ботни.
Botswana,Ботсвана.
Br.,Рост
Brahmaputra,Брахмапутра
Brasil,Бразилия
Brasilia,Бразилиа
Bratislava,Братислава
Braulio,Браулио
Bravo,Браво
Brazzaville,Браззавиль
Brest,Брест
Bretaña,Бретань
Bridgetown,Бриджтаун
Briján,Briján.
Británicas,Британский
Británico,Британский
Bro,Братан.
Bruno,Бруно.
Bruselas,Брюссель
Brígida,Бригида
Bs As.,BS как
Bucarest,Бухарест.
Budapest,Будапешт.
Buena,Хорошо
Buena Esperanza,Хорошая надежда
Buenos,Хорошо
Buenos Aires,Буэнос айрес
Bug,Ошибка
Bujara,Букажа.
Bulgaria,Болгария
Burdeos,Бордо
Burgos,Бургос
Buriatia,Бурятия
Burquina,Бургундия
Burquina Faso,Бургундский фасо.
Burundi,Бурунди.
Bután,Бутан.
Báltico,Прибалтика
Bárbara,Барбара
Bélgica,Бельгия
C,В
C de S,C de S.
C. V. D.,C. V. D.
C. por A.,C. по А.
C.io,С.
C/S,C / S.
CA,Action
CAME,ПРИШЕЛ.
CAMPSA,Кэмпса.
CARICOM,Карико.
CAT,Кот
CB,Сб
CBH,CBH.
CC,ОКРУГ КОЛУМБИЯ
CC.,ОКРУГ КОЛУМБИЯ.
CC. OO. JJ.,ОКРУГ КОЛУМБИЯ. Ооо JJ.
CCC,CCC.
CCD,CCD.
CCE,Цена
CCI,CCI.
CD,компакт диск
CDEA,CDEA.
CDR,CDR.
CDS,Кабинет
CE,Энтук
CEATM,CORETM.
CECE,CECE
CECLA,CECLA
CECS,CECs.
CECT,Кекс
CEE,Эциа
CEF,CEF.
CEI,CEI.
CEM,Усадьба
CEMLA,CEMLA.
CEN,Цен.
CENIC,CENIC
CENTO,Cento.
CEP,CEP
CEPAL,Eclac.
CEPE,CEPE.
CES,CES.
CETME,Цетме
CETSS,Сжимания
CFE,CFE.
CFR.,CFR.
CG,Счетный
CGAT,CGAT.
CGS,CGS.
CGT,CGT.
CH,Цен
CI,IC.
CIA,Представлять
CICR,МККК.
CIJ,Cij.
CIMEA,Cimea.
CIOAC,CIOAC.
CIOSL,Циосос
CIP,Оздоровлять
CIRP,Опрашиваться
CIT,CIT.
CJ'FAR,CJ'FAR.
CL,Клей
CLAE,Кабинет
CLAJ,Claj.
CLASC,Classc.
CM,См
CMP,CMP.
CN,Составлять
CNC,CNC.
CNCU,CNCU.
CNI,CNI.
CNIC,Cnic.
CNOP,CNOP.
CNT,CNT.
CNTU,CNTU.
COA,COA
COB,Початок
COC,Кок
COEMA,Цепь
COI,Кои.
COIN,Монета
COINCE,Кокетка
COJ,Коек
COLDEPORTES,Coldeportes
COMECON,Съедать
COMIBOL,Комибол
COMUNBANA,Сообщество
CON,С
CONACYT,Conacyt.
CONAPROLE,Конапроле.
CONCANACO,Канданако.
CONDECA,Кондейский
CONRAGUA,Конрагуа
COPA,КРУЖКА
COPARMEX,COPARMEX.
COPEI,COPEI.
COPREFIL,Coprefil.
COR,Портить
CORA,Кара
CORECATO,Корекато.
CORETT,Кретт
COTAL,Коталь
CP,Сп.
CPA,CPA.
CPF,CPF.
CPT,CPT
CPUSTAL,Custal.
CR,Кр.
CRN,Хрн
CROC,Крик
CROM,Тс
CSCO,CSCO.
CSE,CSE.
CSO,CSO.
CTAL,CTAL.
CTC,CTC.
CTM,CTM.
CUBALCO,Кубалько.
CUBALSE,Кубальс.
CUBATUR,Cubatur.
CUT,Резать.
CUTV,Катва.
CV,РЕЗЮМЕ.
CVD,Ущерб
Cabo,мыс
Cabo Verde,Кабо-Верде
Cabul,Кабул
Cairo,Каир.
Calais,Calais
Calaínos,Calaíos.
Calcuta,Калькутта.
California,Калифорния
Calixta,Calixta.
Calixto,Calixto.
Calleja,Переулок
Calmucos,Carmcos
Camaleopardo,CAMALEOPARDO.
Camelia,Camellia.
Camerún,Камерун
Camila,Camila
Camilo,Camilo.
Campuchea,Кампуче
Canadá,Канада
Canarias,Канарские острова
Canberra,Канберра
Candelaria,Канделярия
Cannes,Канны.
Cap.,Глава.
Capricornio,Козерог
Caracas,Каракас
Cardona,Кардона.
Carelia,Carelia.
Caribe,Карибский бассейн
Caridad,Благотворительная деятельность
Carito,Carito.
Carla,Карла
Carlos,Карлос
Carlota,Карлота.
Carmela,Кармела.
Carmelita,Кармелит
Carmelo,Кармело
Carmen,Кармен
Caro,Дорого
Carola,Карола
Carolina,Каролина
Carolinas,Каролины.
Cartagena,Картахена.
Casablanca,белый дом
Casiano,Казиано.
Casilda,Касильда.
Casimiro,Casimiro.
Caspio,Каспийский
Castellón,Castellón.
Castellón de la Plana,Castellón de la Plana
Castilla,Кастил
Castilla la Nueva,Castilla La Nueva.
Castilla la Vieja,Castilla La Vieja.
Catalina,Кэтрин
Cataluña,Каталония
Catarina,Катарина.
Cayena,Cayennea.
Cayetano,Cayetano.
Caín,Каин
Cdad,Кадад.
Cdad.,Кадра
Ceboksari,Ceboksari.
Ceca,Мята
Cecilia,Сесилия
Cecilio,CECILIO.
Celedonia,CeleDonia.
Celedonio,Цередониум
Celestina,Селестина.
Celestino,Селестино.
Celia,Celia.
Celina,Села
Celio,CILIO.
Celso,Celso.
Cenicienta,Золушка
Central,Центральный
Cerdeña,Сардиния
Cesárea,кесарево сечение
Cesáreo,Caesarean
Ceuta,CEUTA
Cga,CGA.
Cgo.,CGO.
Ch,Цен
Chad,Чад
Chali,Чали.
Chalo,Choalo.
Chalía,Халко.
Chano,Чано.
Charo,Charo.
Chava,Сумасшедший
Chayo,ЧАЙО.
Cheboksari,Чебокари
Checheno,Чеченский
Checheno-Ingusia,Чесно-ингусия
Checoeslovaquia,Чехословакия.
Checoslovaquia,Чехословакия
Cheliabinsk,Челиабинск
Chelo,виолончель
Chelyabinsk,Chelyabinsk
Chente,Chente.
Chepa,Чепа.
Cheto,Cheeto.
Chi,Ки.
Chicago,Чикаго.
Chichi,Chichi
Chicho,Chicho.
Chile,Чили
China,Китай
Chinto,Chintho.
Chipre,Кипр
Chita,Чита
Chofi,Чофи
Chole,Хол
Chucha,Чуча.
Chucho,Мут
Chukchis,Чуккис.
Chus,Пошаговать
Chuvaches,Чукерсо.
Chuvashia,Чувашия.
Chuy,Чу ý.
Chuyita,Чуюйта.
Cibeles,Пибосы
Cielo,Небеса
Cinosura,Киносура
Cipriano,Кипрский
Cira,Cira.
Cirila,Cirila
Cirilo,Cyrilo.
Ciro,Сам
Ciríaco,Ciriaco.
City,ГОРОД.
Ciudad,Городок
Ciudad Real,Настоящий город
Clara,ясно
Claro,Конечно
Claudia,Клаудия
Claudio,Claudio.
Clemencia,Повседневная
Clemente,Милостивая
Clodomira,Клодомира.
Clodomiro,Клодомиро.
Clotilde,Clotilde.
Cmdte.,CMDTE
Cn.,Составлять
Cnel.,Власть
Cnl.,CNL
Co.,Соревнование
Coche,Автомобиль
Colombia,Колумбия
Colombo,Коломбо
Colonia,Одежда
Colorado,Колорадо
Comoras,Коморас
Conacyt,Conacyt.
Concepción,Концепция
Concha,Ракушка
Conchita,Conchita.
Congo,Конго.
Congreso,Конгресс
Congreso de los diputados,Конгресс депутатов
Conrado,Конрадо.
Consejo,Совет
Consejo de Guerra,Военный совет
Consolación,Утешение
Const,Const.
Constancia,Постоянство
Constancio,Констанция
Constantino,Константин
Constanza,Констанс
Consuelo,Комфорт
Copenhague,Копенгаген
Cor,Портить
Cor.,Кукуруза
Coral,Коралловый
Corcira,CORCIRA.
Corea,Корея
Corea del Sur,Южная Корея
Corfú,Corfu.
Coria,CORIA.
Corl.,Пропасть
Cornelia,Cornelia
Corpus,Корпус.
Cortes,Порезы
Coruña,Coruña.
Corán,Коран
Cosme,Косме
Costa,Побережье
Costa Rica,Коста -Рика
Cotonu,Котону.
Cpo,CPO.
Cpo. Ater.,CPO Коляска.
Cracovia,Краков.
Crespo,Кудрявый
Creta,Крит
Cribas,Крючки.
Crimea,Крым.
Crispina,Криспина.
Crispo,Crispo.
Crispín,Криспин.
Cristi,Cristi.
Cristiana,Христианин
Cristina,Cristina.
Cristián,Cristián.
Cristóbal,Кристобал
Crl.,Потрясение
Cro.,CRO.
Cronstadt,Cronstadt.
Cros.,Cros.
Crucificado,Распятый
Cruz,Крест
Cta.,CTA.
Cte.,CTE.
Ctv.,CTV.
Cuba,Куба
Cuca,CUCA.
Cuchita,Зудящий
Cuenca,Бассейн
Curro,Карие
Cáceres,Cáceres.
Cádiz,Cádiz.
Cándida,Кандида
Cándido,Наивный
Cárpatos,Карпаты
Cáucaso,Кавказ
Célebes,Célebes.
César,Прекратить
Cía,Представлять
Córcega,Корсика
Córdoba,Cordova.
Côte-d'Ivoire,Кот-д'Амоир.
D,Дюймовый
D.a,Дает
DA,Дает
DAA,ДАА.
DAAFAR,Дафар
DC,ОКРУГ КОЛУМБИЯ.
DCI,DCI.
DL,Дл
DM,Дм.
DN,Дн
DNA:,ДНК:
DOR,Дор.
DOT,Точка
DR,Доктор
DT,Дт.
Dacca,Дакка.
Daguestán,Дагустан
Dakar,Дакар
Dalia,Георгин
Damasco,Дамаск
Damián,Дамин.
Daniel,Даниэль.
Danubio,Дунай
Dar-es-Salam,Дар-эс-салам
Dardanelos,Дарданеллы
David,Дэйвид
Delhi,Дели
Demetria,Деметрия
Demetrio,Демитрио
Democrática,Демократический
Dep.to,Глубина
Desiderio,Дезазероризма
Detroit,Детройт.
Diana,Диана
Diego,Диего
Dinamarca,Дания
Dion.,Дион.
Dionisio,Дионизио
Dios,Бог
Div,Девочка
Div. Inf.,Div. Инф.
Dniepr,Dniepr.
Dniepropetrovsk,Днепропетровск.
Dniestr,Днестр
Dniéper,Днепр
Dniéster,Днепетер
Doc.,Док
Doha,Доха.
Dolores,Долорес
Dominga,Доминга.
Domingo,Воскресенье
Dominica,Доминика
Dominicana,Доминиканский
Don,Дон
Dora,Дора.
Dorotea,Доротея.
Doroteo,Доротео.
Dpto.,Деп
Dr.,Доктор
Dublín,Дублин
Duero,Дуро.
Duina,Дуна
Duina del Norte,Северный дуйн.
Duina del Sur,Южная Дуна.
Duina del Sur Occidental,Западная Южная Дуна
Dulce,Конфеты
Dulcinea,Dulcinea.
Dunkerque,Dunkerk.
Dushanbé,Душанбе.
Dusseldorf,Дюссельдорф
Dámaso,Дама
E,И
E Const.,E const.
E. U. A.,Э. У. А. А.
ECA,ECA.
ECAG,Экага
ECFV,Ecfv.
ECI,Eci.
ECOFIL,EcoFile.
ECOSOC,ЭКОСОК.
EE. UU.,США UU
EFE,EFE.
EGB,EGB.
EGREM,Энергия
EIDE,Идес.
EIR,И ИДТИ
EJT,Эйт.
ELN,ПОТОМ
EM,Эм.
EMACO,Эмако.
EMC,Emc.
EMG,Эмг
EMM,Эмм
EMT,Эмт
EN,В
ENA,Ena.
ENIR,Энгера
ENTEL,Навес
EPM,Эпм
EPS,EPS.
ER,Эр.
ESBEC,Esbec.
ESCA,Побег
ESG,Это Г.
ESM,Esm.
ESPA,испанский
EU,ЕВРОСОЮЗ.
Ebro,Эбро.
Ecuador,Эквадор
Ecuatorial,Экваториальный
Eda,Eda.
Eda. Av.,Eda. Средний.
Edgar,Эдгар.
Edgardo,Edgardo.
Edimburgo,Эдинбург
Edita,Редактировать.
Edmundo,Эдмундо.
Eduardo,Эдвард
Efe,EFE.
Egeo,Эгейский
Egipto,Египет
Eira,И перейти к
Ejto,Ejumo.
Eladio,Eladio.
Elba,Эльба
Elbrus,Elbrus.
Elbruz,Elbruz.
Elena,Елена
Eleonor,Элеонор.
Eleonora,Элеонора
Elisa,Elisa.
Elista,Элисто.
Eloy,Элои.
Eloína,Элона.
Eloísa,Eloíso
Elvira,Эльвира
Elías,Илия.
Emilia,Эмилия.
Emiliana,Эмилиана
Emiliano,Эмилиано.
Emilio,Эмилио.
Emiratos,Эмираты
Emiratos Árabes Unidos,Объединенные Арабские Эмираты
Encarnación,Воплощение
Engracia,Английский
Enrique,Enique.
Enriqueta,Enrica.
Entel,Навес
Entlo.,Конец
Er-Riad,Эр-риад.
Erevan,Ереван.
Erivan,Эриван.
Erna,Эрна.
Ernestina,Enernestine.
Ernesto,Ernesto.
Ernán,Ernán.
Esc,Est
Esc. Inf.,Est
Escandinava,Скандинава
Escocia,Шотландия
Esmeralda,Изумруд
España,Испания
Esperanza,Надеяться
Estado,Состояние
Estados,штат
Estados Unidos del Norte de América,Соединенные Штаты Северной Америки
Estambul,Стамбул
Estanislao,Эстанислао
Esteban,Эстебан
Estefanía,Стефаны
Estela,Будить
Ester,Эфир
Estocolmo,Стокгольм
Estonia,Эстония
Estrella,Звезда
Etiopía,Эфиопия
Etna,Этна.
Eton.,Этон
Eubea,Euboea.
Eufemia,Eufemia.
Eufemio,Эвфемиум
Eufrasia,Euphrasia.
Eufrasio,Эвфрасиум
Eufrates,Эвфратс
Eugenia,Евгения
Eugenio,Евгений.
Eulalia,Елалия.
Eulampia,Eulampia
Eulampio,Eulampius.
Eulogio,Элюогиос
Euromercado,Euromercado
Europa,Европа
Eusebia,Eusebia
Eusebio,Eusebio
Eustaquio,Eustachio
Eustasio,Eustasiano.
Eva,Канун
Evaristo,Эваристо.
Evelina,Evelinea.
Everest,Эверест
Exal,Источник
Exaltación,Возвышение
Ext.,Выпуклый
Extremadura,Estremadura
Extremo,Экстремальный
Extremo Oriente,Дальний Восток
F,Фланг
F. C.,Ф. С.
F. F. A. A.,Ф. Ф. А. А.
F. M.,F. M.
F. de T.,Т.
F.ca,F.CA
F.c°,F.C °
F.do,F.Do.
F/S,F / S.
FA,Фальсификация
FAI,Фамин
FAL,Фаль
FALN,Фальн
FAO,ФАО.
FAR,ДАЛЕКО.
FAS,Фас
FAU,Фу.
FAs.,Фас
FC,ФК
FDIM,Фамилия
FDR,Фдраво
FEDECAMARAS,Федекамары
FEEM,Феема
FEF,Феф.
FELAP,Фелап.
FEM,Фем
FENU,Феню
FEP,ФЕП.
FET,Добыча
FEU,Феу
FEVE,Тьв.
FF,Отказ
FF. AA.,Отказ АА.
FIBA,FIBA.
FIDE,Фас
FIFA,ФИФА.
FIG,Инжир.
FINA,ОТЛИЧНО
FIP,Овладевать
FLOMERCA,Фломерка.
FM,FM.
FMC,FMC.
FMI,МВФ.
FMJD,FMJD.
FMLN,FMLN.
FNTA,ФНТА.
FOC,Справедливость
FOCH,Накапливаться
FOP,Ведомость
FP,Вспомогательный
FROC,Froc.
FSB,FSB.
FSLN,FSLN.
FSM,Отделение
FT,Фунт
FUA,Фуа.
Fabiano,Фабиано.
Fabián,Fabián.
Facundo,Facundo.
Fal,Фаль
Falito,Падать.
Falkland,Фолкленд.
Faso,Faso.
Fausta,Fausta
Faustino,Фастино
Fausto,Великолепие
Fc.,ФК
Fdo.,FDO.
Fe,Вера
Federal,Федеральный
Federativa,Федеративный
Federica,Федерика.
Federico,Фредерик
Felicia,Фелиция.
Feliciana,Феликияна
Feliciano,Фелисиао.
Felicidad,Счастье
Felipa,Фелипа.
Felipe,Фелипе.
Felisa,Фелиса
Fermina,Фермина
Fermín,Фальшивый
Fernanda,Фернанда.
Fernando,Фернандо.
Fernán,Фернан.
Ferrol,Феррол.
Fidel,Филе
Fidelio,Fidelio.
Fidji,Cidji.
Fig.,Инжир.
Filadelfia,Филадельфия
Filipinas,Филиппины
Filomela,Филомела.
Filomena,Филомена.
Filomeno,Филомено.
Fina,Отлично
Finlandia,Финляндия
Fis.,FIS.
Fito,Фито
Flandes,Фландрии
Flor,Цветок
Flor de Oro,Золотой цветок
Flora,Флора
Florencia,Флоренция
Florencio,Florencio
Florentina,Флорентина
Florentino,Флорентийский
Florida,Флорида
Floro,Флор
Fortunata,Фортуната.
Fortunato,Фортунато.
Fraga,Фраги.
Franca,Откровенный
Francfort,Франкфурт
Francfort del Main,Франкфурт из главных.
Francfort del Mein,Франкфурт из Мейна.
Francfort del Meno,Франкфурт Менто.
Francia,Франция
Francisca,Франциска
Francisco,Франциско
Francisco José,Франциско Хосе
Franco,Откровенный
Frascuelo,Фращуэло.
Frasquito,Brasquito.
Freetown,Фритаун
Fronda,Пустота
Frunze,Фрунзе.
Fuego,Огонь
Fuen,Вполне
Fuensanta,Фуэнстанта
Fujiyama,Фудзияма.
Fulgencio,Fulgencio.
Fusi-Jama,Fusi-Jama.
Félix,Феликс.
G,грамм
G.U.,Г.
GC,Г
GEPLACEA,Geplacea.
GF,Подруги
GM,Гм
GN,Гной
GTMO,GTMO.
GU,Гулять
Ga,Гадание
Gaborone,Габорон.
Gabriel,Габриэль
Gabriela,Габриэла.
Gabón,Габон
Gales,валлийский
Galicia,Галиция
Galápagos,Галапагос
Gambia,Гамбия
Gana,Победить
Ganges,Ганг.
Gardenia,Гардерия
Garona,Гаронн
Gascuña,Гаскококо.
Gaspar,Гаспар.
Gastón,Гастон
Gde.,Гde.
Genaro,Генаро.
Genova,Генова
Genoveva,Генувева.
Genovevo,Геновево.
Georgetown,Джорджтаун
Georgia,Грузия
Gerardo,Герардо
Germana,Германа
Germán,Немецкий.
Gerona,Герона
Gertrudis,Гертрудис
Gervasio,Gervasio.
Gerónimo,Геронимо.
Ghana,Гана
Gibraltar,Гибралтар
Gil,Гил.
Gilberto,Гилберто
Ginebra,Женева
Gisela,Гисела
Gja,GJA.
Glacial,Ледниковый
Gladys,Глэдис.
Glasgow,Глазго.
Gloria,Слава
Gloriosa,Великолепно
Gobi,ГОБИ
Gocitos,Бакареи.
Golfo,залив
Golfo de Aden,Залив Аден.
Golfo de Finlandia,Залив Финляндии
Golfo de Guinea,Гвинея залива.
Golfo de México,Мексиканский залив
Golfo de Vizcaya,Бискайский залив
Gomo,Гомо.
Gonzalo,Гонсало
Gotaland,Gotaland.
Gotland,Голланд.
Gotlandia,Готланд
Goyo,Goyo.
Gozos,Джойс
Gracia,Забавный
Graciana,Грасиана
Graciano,Грасиано.
Graciela,Грасиела.
Gral.,Германа
Gralmo.,ГРАЛЬМО.
Gran,большой
Gran Bretaña,Британия
Granada,Граната
Grande,Большой
Grandes,Большой
Grandes Antillas,Великие антиллы
Grd.,Гер
Grecia,Греция
Gregorio,Грегори
Grl.,Грл
Groenlandia,Гренландия
Grozny,Грозный.
Gs.,Гс
Gta.,Гта.
Gte.,Гету
Gtmo.,ГТМО
Guacho,Гуахо
Guadalajara,Гвадалахара
Guadalquivir,Гвадалкивир.
Guadalupe,Гваделупа.
Guadalupita,Гвадалупита
Guadarrama,Гударрама
Guadiana,Гвадиана
Gualterio,Гуальтер
Guantánamo,Гуантанамо
Guatemala,Гватемала
Guayana,Гвиана
Guayaquil,Гуаякил
Guernica,Герника
Guerra,Война
Guido,Гвидо
Guille,Гуля.
Guillermina,Гильмина
Guillermo,Уильям
Guinea,Гвинея
Guinea Ecuatorial,Экваториальная Гвинея
Guinea-Bissau,Гвинея-Бисау
Guipúzcoa,Гуйпузко.
Gulf-Stream,Гольфстрим
Gumersindo,Гуммердо
Gustavo,Густаво
Gutierre,Gutierre.
Guyana,Гайана.
H,ЧАС
H-V,H-V.
H.ta,H.TA.
HML,HML
HNAS,Гнас
HNOS,Hnos.
Ha,У него есть
Habana,Гавана
Haití,Гаити
Hamburgo,Гамбург.
Hanoi,Ханой
Harare,Хараре.
Havre,Аварийный
Hawai,Гавайцы
Haya,Является
Hb,HB.
Heladio,Мороженое
Helena,Елена.
Helia,Соревнование
Heliana,Heliana
Helio,Гелий
Heloisa,Haloisa.
Helsinki,Хельсинки.
Hermenegildo,Герменегильдо.
Herminia,Герминия.
Herminio,Терминоамериканский
Hermán,Херм
Hernando,Эрнандо.
Hernán,Хернан.
Hilaria,Илариа
Hilario,Harilio.
Hilarión,Иларион
